80.12
0.400000
40.00  0.80
#offset(ppm)     Intensity     error
# G1 R2a: 16.0 R2b: 53.0 dw: 2.0
 100.000    0.495    0.006
 100.303    0.505    0.006
 100.606    0.505    0.006
 100.909    0.482    0.006
 101.212    0.497    0.006
 101.515    0.491    0.006
 101.818    0.503    0.006
 102.121    0.505    0.006
 102.424    0.495    0.006
 102.727    0.502    0.006
 103.030    0.495    0.006
 103.333    0.510    0.006
 103.636    0.503    0.006
 103.939    0.505    0.006
 104.242    0.504    0.006
 104.545    0.506    0.006
 104.848    0.498    0.006
 105.152    0.486    0.006
 105.455    0.495    0.006
 105.758    0.492    0.006
 106.061    0.501    0.006
 106.364    0.495    0.006
 106.667    0.496    0.006
 106.970    0.488    0.006
 107.273    0.489    0.006
 107.576    0.494    0.006
 107.879    0.487    0.006
 108.182    0.480    0.006
 108.485    0.488    0.006
 108.788    0.494    0.006
 109.091    0.484    0.006
 109.394    0.476    0.006
 109.697    0.478    0.006
 110.000    0.480    0.006
 110.303    0.467    0.006
 110.606    0.462    0.006
 110.909    0.465    0.006
 111.212    0.447    0.006
 111.515    0.432    0.006
 111.818    0.422    0.006
 112.121    0.425    0.006
 112.424    0.395    0.006
 112.727    0.376    0.006
 113.030    0.330    0.006
 113.333    0.301    0.006
 113.636    0.223    0.006
 113.939    0.148    0.006
 114.242    0.049    0.006
 114.545    0.011    0.006
 114.848    0.001    0.006
 115.152    0.004    0.006
 115.455    0.006    0.006
 115.758    0.052    0.006
 116.061    0.100    0.006
 116.364    0.178    0.006
 116.667    0.233    0.006
 116.970    0.268    0.006
 117.273    0.293    0.006
 117.576    0.307    0.006
 117.879    0.312    0.006
 118.182    0.304    0.006
 118.485    0.300    0.006
 118.788    0.277    0.006
 119.091    0.307    0.006
 119.394    0.342    0.006
 119.697    0.384    0.006
 120.000    0.414    0.006
 120.303    0.444    0.006
 120.606    0.451    0.006
 120.909    0.464    0.006
 121.212    0.470    0.006
 121.515    0.484    0.006
 121.818    0.480    0.006
 122.121    0.488    0.006
 122.424    0.486    0.006
 122.727    0.484    0.006
 123.030    0.485    0.006
 123.333    0.498    0.006
 123.636    0.489    0.006
 123.939    0.495    0.006
 124.242    0.501    0.006
 124.545    0.493    0.006
 124.848    0.500    0.006
 125.152    0.511    0.006
 125.455    0.496    0.006
 125.758    0.504    0.006
 126.061    0.511    0.006
 126.364    0.490    0.006
 126.667    0.506    0.006
 126.970    0.506    0.006
 127.273    0.501    0.006
 127.576    0.499    0.006
 127.879    0.506    0.006
 128.182    0.508    0.006
 128.485    0.498    0.006
 128.788    0.505    0.006
 129.091    0.499    0.006
 129.394    0.499    0.006
 129.697    0.504    0.006
 130.000    0.494    0.006
# Y2 R2a: 16.0 R2b: 53.0 dw: 2.0
 100.000    0.491    0.006
 100.303    0.506    0.006
 100.606    0.496    0.006
 100.909    0.504    0.006
 101.212    0.503    0.006
 101.515    0.498    0.006
 101.818    0.482    0.006
 102.121    0.500    0.006
 102.424    0.503    0.006
 102.727    0.499    0.006
 103.030    0.491    0.006
 103.333    0.491    0.006
 103.636    0.489    0.006
 103.939    0.470    0.006
 104.242    0.463    0.006
 104.545    0.458    0.006
 104.848    0.441    0.006
 105.152    0.405    0.006
 105.455    0.374    0.006
 105.758    0.329    0.006
 106.061    0.316    0.006
 106.364    0.331    0.006
 106.667    0.360    0.006
 106.970    0.382    0.006
 107.273    0.418    0.006
 107.576    0.422    0.006
 107.879    0.441    0.006
 108.182    0.441    0.006
 108.485    0.447    0.006
 108.788    0.452    0.006
 109.091    0.440    0.006
 109.394    0.450    0.006
 109.697    0.455    0.006
 110.000    0.446    0.006
 110.303    0.443    0.006
 110.606    0.440    0.006
 110.909    0.439    0.006
 111.212    0.421    0.006
 111.515    0.415    0.006
 111.818    0.414    0.006
 112.121    0.390    0.006
 112.424    0.361    0.006
 112.727    0.335    0.006
 113.030    0.302    0.006
 113.333    0.257    0.006
 113.636    0.197    0.006
 113.939    0.130    0.006
 114.242    0.043    0.006
 114.545    0.010    0.006
 114.848    0.002    0.006
 115.152   -0.011    0.006
 115.455    0.013    0.006
 115.758    0.058    0.006
 116.061    0.133    0.006
 116.364    0.215    0.006
 116.667    0.277    0.006
 116.970    0.334    0.006
 117.273    0.367    0.006
 117.576    0.402    0.006
 117.879    0.412    0.006
 118.182    0.439    0.006
 118.485    0.447    0.006
 118.788    0.453    0.006
 119.091    0.467    0.006
 119.394    0.467    0.006
 119.697    0.464    0.006
 120.000    0.480    0.006
 120.303    0.474    0.006
 120.606    0.476    0.006
 120.909    0.486    0.006
 121.212    0.495    0.006
 121.515    0.494    0.006
 121.818    0.497    0.006
 122.121    0.508    0.006
 122.424    0.495    0.006
 122.727    0.494    0.006
 123.030    0.507    0.006
 123.333    0.493    0.006
 123.636    0.501    0.006
 123.939    0.502    0.006
 124.242    0.503    0.006
 124.545    0.502    0.006
 124.848    0.508    0.006
 125.152    0.500    0.006
 125.455    0.496    0.006
 125.758    0.499    0.006
 126.061    0.493    0.006
 126.364    0.513    0.006
 126.667    0.505    0.006
 126.970    0.502    0.006
 127.273    0.497    0.006
 127.576    0.509    0.006
 127.879    0.508    0.006
 128.182    0.505    0.006
 128.485    0.500    0.006
 128.788    0.510    0.006
 129.091    0.511    0.006
 129.394    0.507    0.006
 129.697    0.508    0.006
 130.000    0.513    0.006
# W3 R2a: 16.0 R2b: 53.0 dw: 2.0
 100.000    0.505    0.006
 100.303    0.505    0.006
 100.606    0.498    0.006
 100.909    0.504    0.006
 101.212    0.507    0.006
 101.515    0.500    0.006
 101.818    0.490    0.006
 102.121    0.501    0.006
 102.424    0.494    0.006
 102.727    0.490    0.006
 103.030    0.486    0.006
 103.333    0.488    0.006
 103.636    0.491    0.006
 103.939    0.490    0.006
 104.242    0.489    0.006
 104.545    0.488    0.006
 104.848    0.480    0.006
 105.152    0.458    0.006
 105.455    0.451    0.006
 105.758    0.449    0.006
 106.061    0.411    0.006
 106.364    0.379    0.006
 106.667    0.345    0.006
 106.970    0.315    0.006
 107.273    0.321    0.006
 107.576    0.351    0.006
 107.879    0.366    0.006
 108.182    0.401    0.006
 108.485    0.407    0.006
 108.788    0.423    0.006
 109.091    0.447    0.006
 109.394    0.436    0.006
 109.697    0.441    0.006
 110.000    0.437    0.006
 110.303    0.429    0.006
 110.606    0.436    0.006
 110.909    0.430    0.006
 111.212    0.424    0.006
 111.515    0.415    0.006
 111.818    0.392    0.006
 112.121    0.381    0.006
 112.424    0.373    0.006
 112.727    0.344    0.006
 113.030    0.299    0.006
 113.333    0.252    0.006
 113.636    0.191    0.006
 113.939    0.122    0.006
 114.242    0.044    0.006
 114.545    0.014    0.006
 114.848   -0.003    0.006
 115.152    0.009    0.006
 115.455    0.005    0.006
 115.758    0.055    0.006
 116.061    0.133    0.006
 116.364    0.222    0.006
 116.667    0.277    0.006
 116.970    0.338    0.006
 117.273    0.367    0.006
 117.576    0.399    0.006
 117.879    0.415    0.006
 118.182    0.422    0.006
 118.485    0.447    0.006
 118.788    0.451    0.006
 119.091    0.455    0.006
